sample,spot,u_ppm,th_ppm,th_u,group,terrane
194725,27.1,71.9,7.7,0.1,Albany-Fraser Orogen,Proterozoic Orogens
182435,13.1,55.2,103.1,1.9,Albany-Fraser Orogen,Proterozoic Orogens
184329,36.1,612.4,96.7,0.2,Albany-Fraser Orogen,Proterozoic Orogens
194422,10.1,230.0,53.0,0.2,Musgraves,Proterozoic Orogens
184128,24.1,31.0,1.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
182475,9.1,93.1,3.3,0.0,Albany-Fraser Orogen,Proterozoic Orogens
195826,14.1,96.0,7.5,0.1,Capricon Orogen,Proterozoic Orogens
184329,11.1,609.5,79.1,0.1,Albany-Fraser Orogen,Proterozoic Orogens
194714,1.1,50.9,51.9,1.1,Albany-Fraser Orogen,Proterozoic Orogens
183726,32.1,240.3,182.6,0.8,Musgraves,Proterozoic Orogens
180867,47.1,102.3,384.0,3.9,Musgraves,Proterozoic Orogens
192508,29.1,1414.9,105.8,0.1,Albany-Fraser Orogen,Proterozoic Orogens
194728,23.1,127.4,7.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
100710,5.1,1869.0,845.0,0.5,Yilgarn,Archean Cratons
100710,6.1,448.0,283.0,0.6,Yilgarn,Archean Cratons
101381,2.1,418.0,165.0,0.4,Yilgarn,Archean Cratons
104970,34.1,467.0,77.0,0.2,Yilgarn,Archean Cratons
104975,1.1,1200.0,390.0,0.3,Yilgarn,Archean Cratons
105001,8.1,929.0,301.0,0.3,Yilgarn,Archean Cratons
105001,10.1,502.0,895.0,1.8,Yilgarn,Archean Cratons
105002,17.1,964.0,105.0,0.1,Yilgarn,Archean Cratons
118914,8.1,1909.0,727.0,0.4,Rudall,Proterozoic Orogens
118947,14.1,429.0,580.0,1.4,Yilgarn,Archean Cratons
118947,18.1,474.0,609.0,1.3,Yilgarn,Archean Cratons
118950,16.1,227.0,106.0,0.5,Yilgarn,Archean Cratons
132918,4.1,178.0,165.0,0.9,Yilgarn,Archean Cratons
132918,23.1,325.0,335.0,1.0,Yilgarn,Archean Cratons
142874,20.1,258.0,149.0,0.6,Pilbara,Archean Cratons
142966,21.1,64.0,49.0,0.8,Pilbara,Archean Cratons
142985,1.1,426.0,265.0,0.6,Pilbara,Archean Cratons
142985,4.1,351.0,149.0,0.4,Pilbara,Archean Cratons
142985,10.1,434.0,213.0,0.5,Pilbara,Archean Cratons
183492,8.1,242.0,457.0,2.0,Musgraves,Proterozoic Orogens
187115,49.1,38.0,33.0,0.9,Musgraves,Proterozoic Orogens
187115,33.1,16.0,20.0,1.3,Musgraves,Proterozoic Orogens
187113,23.1,987.0,181.0,0.2,Musgraves,Proterozoic Orogens
187115,46.1,25.0,36.0,1.4,Musgraves,Proterozoic Orogens
189540,34.1,19.5,315.6,16.7,Musgraves,Proterozoic Orogens
187115,23.1,23.0,23.0,1.0,Musgraves,Proterozoic Orogens
177910,4.2,463.0,6.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
88410,45.2,151.0,80.0,0.5,Capricon Orogen,Proterozoic Orogens
194740,28.1,83.9,3.9,0.0,Albany-Fraser Orogen,Proterozoic Orogens
182203,2.1,108.6,108.3,1.0,Albany-Fraser Orogen,Proterozoic Orogens
194740,23.1,38.2,0.2,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194381,31.1,245.2,202.1,0.9,Musgraves,Proterozoic Orogens
183492,33.1,230.0,353.0,1.6,Musgraves,Proterozoic Orogens
194740,36.1,71.5,7.4,0.1,Albany-Fraser Orogen,Proterozoic Orogens
182475,18.1,140.9,2.7,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194707,1.1,164.3,11.7,0.1,Albany-Fraser Orogen,Proterozoic Orogens
194735,5.1,51.7,0.1,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194381,33.1,309.8,347.5,1.2,Musgraves,Proterozoic Orogens
184329,35.1,105.6,0.4,0.0,Albany-Fraser Orogen,Proterozoic Orogens
195826,26.1,14.6,0.7,0.0,Capricon Orogen,Proterozoic Orogens
194709,17.1,560.5,104.3,0.2,Albany-Fraser Orogen,Proterozoic Orogens
104975,14.1,359.0,200.0,0.6,Yilgarn,Archean Cratons
105009,17.1,397.0,303.0,0.8,Yilgarn,Archean Cratons
112177,23.1,124.0,65.0,0.5,Yilgarn,Archean Cratons
118950,11.1,231.0,93.0,0.4,Yilgarn,Archean Cratons
142835,12.1,138.0,64.0,0.5,Pilbara,Archean Cratons
169001,11.1,1783.0,221.0,0.1,leeuwin,Proterozoic Orogens
174737,26.1,39.0,137.0,3.6,Musgraves,Proterozoic Orogens
194740,25.1,62.3,1.9,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194740,1.1,83.0,2.8,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194381,47.1,203.7,311.1,1.6,Musgraves,Proterozoic Orogens
194708,19.1,381.8,18.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
182203,5.1,113.8,187.7,1.7,Albany-Fraser Orogen,Proterozoic Orogens
194728,31.1,306.2,8.5,0.0,Albany-Fraser Orogen,Proterozoic Orogens
184334,10.1,1991.9,21.1,0.0,Albany-Fraser Orogen,Proterozoic Orogens
189540,39.1,10.0,208.1,21.4,Musgraves,Proterozoic Orogens
199422,2.2,163.2,104.4,0.7,Basins,Basins
189540,18.2,19.2,326.6,17.6,Musgraves,Proterozoic Orogens
100710,15.1,2615.0,1994.0,0.8,Yilgarn,Archean Cratons
104970,35.1,561.0,110.0,0.2,Yilgarn,Archean Cratons
105001,16.1,1129.0,51.0,0.1,Yilgarn,Archean Cratons
105002,5.1,787.0,86.0,0.1,Yilgarn,Archean Cratons
112144A,9.1,221.0,167.0,0.8,leeuwin,Proterozoic Orogens
112177,4.1,150.0,112.0,0.8,Yilgarn,Archean Cratons
118923,4.1,83.0,52.0,0.6,Pilbara,Archean Cratons
142874,22.1,571.0,306.0,0.5,Pilbara,Archean Cratons
142985,5.1,226.0,33.0,0.1,Pilbara,Archean Cratons
144261,16.2,680.0,114.0,0.2,Basins,Basins
194740,38.1,67.2,4.4,0.1,Albany-Fraser Orogen,Proterozoic Orogens
182477,6.1,54.9,21.1,0.4,Albany-Fraser Orogen,Proterozoic Orogens
177910,6.2,406.0,12.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194785,22.1,74.1,384.0,5.4,Albany-Fraser Orogen,Proterozoic Orogens
194740,9.1,65.0,3.2,0.1,Albany-Fraser Orogen,Proterozoic Orogens
194785,6.1,522.0,152.5,0.3,Albany-Fraser Orogen,Proterozoic Orogens
189540,47.1,61.8,120.1,2.0,Musgraves,Proterozoic Orogens
177908,6.2,560.0,116.0,0.2,Yilgarn,Archean Cratons
177910,14.2,181.0,15.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
194740,10.1,81.1,2.8,0.0,Albany-Fraser Orogen,Proterozoic Orogens
187166,3.1,1173.5,120.1,0.1,Musgraves,Proterozoic Orogens
195826,2.1,25.9,0.1,0.0,Capricon Orogen,Proterozoic Orogens
208414,6.1,154.2,236.0,1.6,Musgraves,Proterozoic Orogens
194740,6.1,70.3,2.5,0.0,Albany-Fraser Orogen,Proterozoic Orogens
104970,26.1,408.0,104.0,0.3,Yilgarn,Archean Cratons
105012,5.1,273.0,138.0,0.5,Yilgarn,Archean Cratons
118924,6.1,145.0,92.0,0.6,Basins,Basins
142985,9.1,587.0,295.0,0.5,Pilbara,Archean Cratons
144261,13.3,156.0,190.0,1.2,Basins,Basins
189540,50.1,12.6,172.3,14.1,Musgraves,Proterozoic Orogens
195826,7.1,27.9,0.1,0.0,Capricon Orogen,Proterozoic Orogens
184329,34.1,2040.5,250.3,0.1,Albany-Fraser Orogen,Proterozoic Orogens
195826,4.1,23.4,0.0,0.0,Capricon Orogen,Proterozoic Orogens
194785,5.1,273.3,264.5,1.0,Albany-Fraser Orogen,Proterozoic Orogens
194709,28.1,351.3,201.3,0.6,Albany-Fraser Orogen,Proterozoic Orogens
174737,6.2,37.0,88.0,2.5,Musgraves,Proterozoic Orogens
187166,15.1,1167.9,164.6,0.1,Musgraves,Proterozoic Orogens
174737,5.1,95.0,376.0,4.1,Musgraves,Proterozoic Orogens
104963,6.1,474.0,209.0,0.4,Yilgarn,Archean Cratons
105009,6.1,590.0,129.0,0.2,Yilgarn,Archean Cratons
142985,21.1,479.0,290.0,0.6,Pilbara,Archean Cratons
83666,15.1,556.0,126.0,0.2,Albany-Fraser Orogen,Proterozoic Orogens
194725,28.1,49.1,0.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
182475,7.1,95.1,5.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
184128,18.1,17.0,13.0,0.8,Albany-Fraser Orogen,Proterozoic Orogens
194740,32.1,79.4,3.9,0.1,Albany-Fraser Orogen,Proterozoic Orogens
184128,20.1,10.0,0.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
